Name,Title,Description
Dave Canales,Head Coach,"College: Azusa Pacific University. Became Panthers HC in 2024 after serving as offensive coordinator for the Buccaneers and 13 years with Seahawks. In his first season, Carolina improved by 3 wins, Bryce Young had a career year, and several players earned Pro Bowl recognition. Known for developing quarterbacks and leading productive offenses."
Brad Idzik,Offensive Coordinator,"Second season with Panthers after joining in 2024. Played key role in Bryce Young’s improvement late in 2024, helped Chuba Hubbard surpass 1,000 rushing yards, and oversaw strong rookie receiving group. Previously coached wide receivers and quarterbacks in Seattle and Tampa Bay."
Harold Goodwin,Assistant Head Coach/Run Game Coordinator,"Second season with Panthers. Helped lead a major turnaround in Carolina’s run game in 2024. Brings over 20 years of NFL experience, including a Super Bowl title with Pittsburgh."
Joe Gilbert,Offensive Line,"Second season with Panthers. Nearly four decades of coaching experience and 13 years in the NFL. Dramatically improved Panthers offensive line in 2024, helping Chuba Hubbard reach 1,000 yards and developing Pro Bowl guard Robert Hunt."
Will Harriger,Quarterbacks,"Second season with Panthers. Played key role in Bryce Young’s resurgence in 2024. Over 20 years of coaching experience, developing elite QBs including Dak Prescott, Caleb Williams, Russell Wilson, and Trevor Lawrence."
Pat McPherson,Tight Ends,"Second season with Panthers, 14 years in Seahawks before. Developed rookie Ja’Tavion Sanders and helped Tommy Tremble post a career-best season. Nearly three decades of NFL coaching, including two Super Bowl titles."
Rob Moore,Wide Receivers,"Second season with Panthers. Developed one of the league’s top rookie receiving groups in 2024, including Xavier Legette and Jalen Coker. Extensive NFL playing/coaching career, including Titans, Raiders, Bills, and Syracuse."
Bernie Parmalee,Running Backs,"First season with Panthers, previously Jaguars RB coach for 3 years. Former NFL RB, strong track record developing productive backfields including Travis Etienne Jr."
Mike Bercovici,Assistant QBs/Pass Game Specialist,"Third season with Panthers, first in current role. Helped Bryce Young post career-high 21 passing TDs in 2024. Background in QB development at Arizona State, Cardinals, and as former collegiate/pro QB."
Ejiro Evero,Defensive Coordinator,"Third season with Panthers. Led top-10 defenses in 2 of last 3 seasons, including 4th-ranked Carolina unit in 2023. Extensive NFL experience including coordinating Denver’s top-10 defense and Super Bowl LVI win with Rams."
Dom Capers,Senior Defensive Assistant,"Third season back with Panthers. First-ever Panthers head coach, 50 years coaching experience, former head coach and long-time defensive coordinator. Won Super Bowl XLV with Green Bay and developed numerous Pro Bowl/All-Pro players."
AC Carter,Outside Linebackers,"First season with Panthers. 10 years coaching experience, including 4 in NFL. Developed standout defensive linemen and productive top-half run defenses."
Jonathan Cooley,Defensive Passing Game Coordinator,"Third season with Panthers, second in current role. Key in developing Carolina’s coverage unit including Jaycee Horn. Background coaching secondary for Rams’ Super Bowl staff and NFL/college defensive backs."
Peter Hansen,Linebackers,"Third season with Panthers. 17 years coaching experience, 7 in NFL. Developed productive LB play highlighted by Josey Jewell, Trevin Wallace, Frankie Luvu."
Renaldo Hill,Secondary Coach,"First season with Panthers. 11 years coaching experience, 10-year NFL playing career. Helped Miami field first top-10 defense in over a decade (2023), turnover-focused production."
Todd Wash,Defensive Line,"Third season with Panthers. Three decades coaching experience, long NFL résumé. Coached elite production from front, guiding Derrick Brown and A’Shawn Robinson to top performance."
Mayur Chaudhari,Assistant Linebackers,"Third season with Panthers, first in current role. Over 20 years coaching experience, seven in NFL. Developed productive tacklers including Josey Jewell and Trevin Wallace."
Tracy Smith,Special Teams Coordinator,"Second season with Panthers. 17 years NFL coaching experience, elite coverage units. In 2024, Panthers led league in opponent kickoff return average."
Daren Bates,Special Teams Assistant,"Second season with Panthers. Nine NFL seasons as player, transitioned into coaching. Contributed to elite coverage units including standout kicker/punter performances."
Jim Caldwell,Senior Coaching Advisor,"Third season with Panthers. 44 years coaching experience, 21 in NFL, 15 seasons as head coach. Led Colts/Lions to playoff appearances and Super Bowl win as assistant with Indianapolis/Baltimore."
George Li,Game Management Coordinator,"Third season with Panthers. 14 years NFL experience in analytics and game management. Provides analytical support, advises on game decisions, previously with Colts/Raiders."
Dean Petzing,Offensive Quality Control,"Second season with Panthers, 12 years collegiate coaching. Helped Panthers increase passing TDs by 9 in 2024 and contributed to strong rushing attack. Previously coached at LSU, Notre Dame, Maine, Villanova, Yale, St. Lawrence."
